"","Full.Name","Place","Tires","Car.Make","Car.Model","Car.Year","Course","Run","Time","Run.Rank"
"95","Nikhil Juturu",36,"Bridgestone","Honda","Civic SI",2018,"C1","R2",73.598,3
"96","Karl Shultz",37,"Bridgestone","Volkswagen","Golf GTI",2019,"C1","R2",73.262,3
"97","Mark Stevens",38,"Bridgestone","Volkswagen","Golf GTI",2018,"C1","R2",72.848,1
"98","Michael Bullis",39,"Bridgestone","Volkswagen","Golf GTI",2015,"C1","R2",71.897,1
"99","Anthony Oliveri",40,"Bridgestone","Ford","Focus ST",2013,"C1","R2",71.365,1
"100","Shawn Hale",41,"Bridgestone","Honda","Civic SI",2018,"C1","R2",72.335,2
"101","David Rudy",42,"Bridgestone","Honda","Civic SI",2017,"C1","R2",73.594,3
"102","Todd Forno",43,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R2",72.698,3
"103","Phil Osborne",44,"Bridgestone","Honda","Civic SI",2019,"C1","R2",72.679,2
"104","Jeff Britton",45,"Bridgestone","Volkswagen","Golf GTI",2015,"C1","R2",72.199,2
"105","Matt Morhardt",46,"Bridgestone","Subaru","Impreza",2006,"C1","R2",72.101,2
"106","Keith Koegler",47,"BFGoodrich","Ford","Focus ST",2015,"C1","R2",72.427,3
"107","Jeff Hahn",48,"Bridgestone","Ford","Focus ST",2013,"C1","R2",0,NA
"108","Ed George",49,"Bridgestone","Honda","Civic SI",2019,"C1","R2",76.177,3
"109","Ben Woessner",50,"Bridgestone","Ford","Focus ST",2013,"C1","R2",72.276,1
"110","Sara Tessem",51,"Bridgestone","Volkswagen","Golf GTI",2015,"C1","R2",73.24,2
"111","Thomas Simon",52,"Bridgestone","Ford","Focus ST",2014,"C1","R2",73.122,3
"112","Mike Bronson",53,"Bridgestone","Ford","Focus ST",2016,"C1","R2",72.932,2
"113","Mark Steichen",54,"Bridgestone","Honda","Civic SI",2018,"C1","R2",0,NA
"114","James Arthur",55,"Bridgestone","Ford","Focus ST",2017,"C1","R2",0,NA
"115","Vernon Geddings",56,"Bridgestone","Honda","Civic SI",2017,"C1","R2",76.231,3
"116","Sarah Mitchell",57,"BFGoodrich","Volkswagen","Golf GTI",2016,"C1","R2",78.439,2
"117","Kwok Ling-Kam",58,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R2",0,NA
"118","Justin Arnette",59,"Continental","Chevrolet","Malibu",2018,"C1","R2",78.597,1
"119","Ron Williams",1,"Bridgestone","Honda","Civic SI",2019,"C1","R3",68.633,1
"120","Lance Keeley",2,"BFGoodrich","Honda","Civic SI",2018,"C1","R3",69.267,2
"121","Eric Simmons",3,"BFGoodrich","Honda","Civic SI",2019,"C1","R3",69.306,1
"122","Dave Potocki",4,"Bridgestone","Honda","Civic SI",2019,"C1","R3",83.571,3
"123","Chris Kirkland",5,"Bridgestone","Ford","Focus ST",2013,"C1","R3",69.91,3
"124","Mike Herrick",6,"Bridgestone","Honda","Civic SI",2017,"C1","R3",69.914,2
"125","Nick Sloan",7,"Bridgestone","Honda","Civic SI",2017,"C1","R3",69.389,1
"126","Joe Blaha",8,"Bridgestone","Ford","Focus ST",2014,"C1","R3",70.241,2
"127","Chris Rudy",9,"Bridgestone","Honda","Civic SI",2017,"C1","R3",71.289,2
"128","Dan Cochran",10,"Bridgestone","Ford","Focus ST",2014,"C1","R3",72.492,3
"129","Jason Tipple",11,"Bridgestone","Honda","Civic SI",2019,"C1","R3",77.567,3
"130","Mike Casino",12,"Bridgestone","Ford","Focus ST",2013,"C1","R3",79.547,3
"131","Matt Luckow",13,"Bridgestone","Honda","Civic SI",2018,"C1","R3",71.314,3
"132","Brad Fiore",14,"Bridgestone","Volkswagen","Golf GTI",2017,"C1","R3",69.822,1
"133","Roy Handoko",15,"Bridgestone","Honda","Civic SI",2019,"C1","R3",70.439,2
"134","Jack Burns",16,"BFGoodrich","Honda","Civic SI",2019,"C1","R3",70.032,1
"135","Brian Anthony",17,"Bridgestone","Ford","Focus ST",2014,"C1","R3",70.193,1
"136","Patrice Bousquet",18,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R3",70.685,3
"137","Todd Freeman",19,"Bridgestone","Honda","Civic SI",2017,"C1","R3",72.884,3
"138","Christopher Higgins",20,"BFGoodrich","Honda","Civic SI",2017,"C1","R3",70.237,1
"139","Richard Verret",21,"BFGoodrich","Honda","Civic SI",2017,"C1","R3",70.592,1
"140","Shaun Bailey",22,"BFGoodrich","Volkswagen","Golf GTI",2016,"C1","R3",70.389,1
"141","Sam Karp",23,"BFGoodrich","Honda","Civic SI",2018,"C1","R3",69.931,2
"142","Jeffrey Tattershall",24,"Bridgestone","Honda","Civic SI",2019,"C1","R3",70.676,1
"143","Michael Waich",25,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R3",70.03,1
"144","John Azevedo",26,"Bridgestone","Honda","Civic SI",2019,"C1","R3",70.74,1
"145","Alan Hamson",27,"Bridgestone","Honda","Civic SI",2019,"C1","R3",70.645,1
"146","Barbara Seeger",28,"Bridgestone","Honda","Civic SI",2018,"C1","R3",70.262,1
"147","Lee Piccione",29,"Bridgestone","Honda","Civic SI",2019,"C1","R3",71.762,2
"148","Robin Newborg",30,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R3",71.101,1
"149","Alex Bronson",31,"Bridgestone","Ford","Focus ST",2016,"C1","R3",70.664,1
"150","Chad Freeman",32,"Bridgestone","Honda","Civic SI",2018,"C1","R3",71.649,1
"151","Daniel Sato",33,"Bridgestone","Honda","Civic SI",2018,"C1","R3",71.428,1
"152","Jeffrey Managhan",34,"Bridgestone","Volkswagen","Golf GTI",2017,"C1","R3",71.359,1
"153","Christian Williams",35,"Bridgestone","Honda","Civic SI",2017,"C1","R3",71.809,2
"154","Nikhil Juturu",36,"Bridgestone","Honda","Civic SI",2018,"C1","R3",70.979,1
"155","Karl Shultz",37,"Bridgestone","Volkswagen","Golf GTI",2019,"C1","R3",71.311,2
"156","Mark Stevens",38,"Bridgestone","Volkswagen","Golf GTI",2018,"C1","R3",73.041,2
"157","Michael Bullis",39,"Bridgestone","Volkswagen","Golf GTI",2015,"C1","R3",72.105,2
"158","Anthony Oliveri",40,"Bridgestone","Ford","Focus ST",2013,"C1","R3",75.014,3
"159","Shawn Hale",41,"Bridgestone","Honda","Civic SI",2018,"C1","R3",72.259,1
"160","David Rudy",42,"Bridgestone","Honda","Civic SI",2017,"C1","R3",71.88,2
"161","Todd Forno",43,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R3",72.184,2
"162","Phil Osborne",44,"Bridgestone","Honda","Civic SI",2019,"C1","R3",72.335,1
"163","Jeff Britton",45,"Bridgestone","Volkswagen","Golf GTI",2015,"C1","R3",72.001,1
"164","Matt Morhardt",46,"Bridgestone","Subaru","Impreza",2006,"C1","R3",71.613,1
"165","Keith Koegler",47,"BFGoodrich","Ford","Focus ST",2015,"C1","R3",72.327,2
"166","Jeff Hahn",48,"Bridgestone","Ford","Focus ST",2013,"C1","R3",71.34,1
"167","Ed George",49,"Bridgestone","Honda","Civic SI",2019,"C1","R3",73.541,2
"168","Ben Woessner",50,"Bridgestone","Ford","Focus ST",2013,"C1","R3",72.904,2
"169","Sara Tessem",51,"Bridgestone","Volkswagen","Golf GTI",2015,"C1","R3",71.684,1
"170","Thomas Simon",52,"Bridgestone","Ford","Focus ST",2014,"C1","R3",73.023,2
"171","Mike Bronson",53,"Bridgestone","Ford","Focus ST",2016,"C1","R3",72.713,1
"172","Mark Steichen",54,"Bridgestone","Honda","Civic SI",2018,"C1","R3",81.691,2
"173","James Arthur",55,"Bridgestone","Ford","Focus ST",2017,"C1","R3",73.704,1
"174","Vernon Geddings",56,"Bridgestone","Honda","Civic SI",2017,"C1","R3",75.215,1
"175","Sarah Mitchell",57,"BFGoodrich","Volkswagen","Golf GTI",2016,"C1","R3",75.374,1
"176","Kwok Ling-Kam",58,"Bridgestone","Volkswagen","Golf GTI",2016,"C1","R3",79.824,1
"177","Justin Arnette",59,"Continental","Chevrolet","Malibu",2018,"C1","R3",80.051,3
"178","Ron Williams",1,"Bridgestone","Honda","Civic SI",2019,"C2","R1",68.709,2
"179","Lance Keeley",2,"BFGoodrich","Honda","Civic SI",2018,"C2","R1",70.034,3
"180","Eric Simmons",3,"BFGoodrich","Honda","Civic SI",2019,"C2","R1",0,NA
"181","Dave Potocki",4,"Bridgestone","Honda","Civic SI",2019,"C2","R1",69.148,2
"182","Chris Kirkland",5,"Bridgestone","Ford","Focus ST",2013,"C2","R1",68.93,2
"183","Mike Herrick",6,"Bridgestone","Honda","Civic SI",2017,"C2","R1",69.414,3
"184","Nick Sloan",7,"Bridgestone","Honda","Civic SI",2017,"C2","R1",72.298,3
"185","Joe Blaha",8,"Bridgestone","Ford","Focus ST",2014,"C2","R1",70.117,3
"186","Chris Rudy",9,"Bridgestone","Honda","Civic SI",2017,"C2","R1",69.045,1
"187","Dan Cochran",10,"Bridgestone","Ford","Focus ST",2014,"C2","R1",70.544,3
"188","Jason Tipple",11,"Bridgestone","Honda","Civic SI",2019,"C2","R1",69.482,1
"189","Mike Casino",12,"Bridgestone","Ford","Focus ST",2013,"C2","R1",69.405,1
"190","Matt Luckow",13,"Bridgestone","Honda","Civic SI",2018,"C2","R1",70.041,2
"191","Brad Fiore",14,"Bridgestone","Volkswagen","Golf GTI",2017,"C2","R1",69.626,1
"192","Roy Handoko",15,"Bridgestone","Honda","Civic SI",2019,"C2","R1",76.936,3
"193","Jack Burns",16,"BFGoodrich","Honda","Civic SI",2019,"C2","R1",71.088,3
"194","Brian Anthony",17,"Bridgestone","Ford","Focus ST",2014,"C2","R1",70.184,3
"195","Patrice Bousquet",18,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R1",69.686,1
"196","Todd Freeman",19,"Bridgestone","Honda","Civic SI",2017,"C2","R1",71.912,3
"197","Christopher Higgins",20,"BFGoodrich","Honda","Civic SI",2017,"C2","R1",69.609,1
"198","Richard Verret",21,"BFGoodrich","Honda","Civic SI",2017,"C2","R1",69.638,1
"199","Shaun Bailey",22,"BFGoodrich","Volkswagen","Golf GTI",2016,"C2","R1",69.86,1
"200","Sam Karp",23,"BFGoodrich","Honda","Civic SI",2018,"C2","R1",71.549,2
"201","Jeffrey Tattershall",24,"Bridgestone","Honda","Civic SI",2019,"C2","R1",69.71,1
"202","Michael Waich",25,"Bridgestone","Volkswagen","Golf GTI",2016,"C2","R1",70.604,2
"203","John Azevedo",26,"Bridgestone","Honda","Civic SI",2019,"C2","R1",69.726,1
"204","Alan Hamson",27,"Bridgestone","Honda","Civic SI",2019,"C2","R1",70.405,2
"205","Barbara Seeger",28,"Bridgestone","Honda","Civic SI",2018,"C2","R1",71.402,3
"206","Lee Piccione",29,"Bridgestone","Honda","Civic SI",2019,"C2","R1",70.332,1
